Panama,8.537981,-80.782127
FYR,34.7393382,135.3252511
Madagascar (Malagasy),-18.9178849,47.5330832
Lesotho,-29.609988,28.233608
Macedonia,41.608635,21.745275
Cambodia (Kampuchea),11.5675656,104.90485
Suriname,3.919305,-56.027783
Grenada,12.1165,-61.67899999999999
Cyprus,35.126413,33.429859
Guinea-Bissau,11.803749,-15.180413
Paraguay,-23.442503,-58.443832
Afghanistan,33.93911,67.709953
Vietnam (North Vietnam),14.058324,108.277199
Congo,-0.228021,15.827659
Dominican Republic,18.735693,-70.162651
Laos,19.85627,102.495496
South Korea,35.907757,127.766922
Ethiopia,9.145000000000001,40.489673
Libya,26.3351,17.228331
Mauritania,21.00789,-10.940835
Haiti,18.971187,-72.285215
Ecuador,-1.831239,-78.18340599999999
Georgia,32.1656221,-82.9000751
Eritrea,15.179384,39.782334
Uganda,1.373333,32.290275
Syria,34.80207499999999,38.996815
South Yemen,15.552727,48.516388
Hyderabadh,17.385044,78.486671
Egypt,26.820553,30.802498
Morocco,31.791702,-7.092619999999999
Mozambique,-18.665695,35.529562
Serbia (Yugoslavia),44.82956799999999,20.420127
Lebanon,33.854721,35.862285
Togo,8.619543,0.824782
Cuba,21.521757,-77.781167
Mexico,23.634501,-102.552784
Albania,41.153332,20.168331
Zimbabwe (Rhodesia),-19.015438,29.154857
DR Congo (Zaire),-4.038333,21.758664
Azerbaijan,40.143105,47.576927
Bolivia,-16.290154,-63.58865299999999
Djibouti,11.825138,42.590275
Kenya,-0.023559,37.906193
Tajikistan,38.861034,71.276093
Somalia,5.152149,46.199616
Kuwait,29.31166,47.481766
Spain,40.46366700000001,-3.74922
Rwanda,-1.940278,29.873888
Hungary,47.162494,19.503304
Cameroon,7.369721999999999,12.354722
France,46.227638,2.213749
Burundi,-3.373056,29.918886
Moldova,47.411631,28.369885
Nicaragua,12.865416,-85.207229
Mali,17.570692,-3.996166
Myanmar (Burma),21.913965,95.956223
Oman,21.512583,55.923255
China,35.86166,104.195397
Croatia,45.1,15.2
India,20.593684,78.96288
United Kingdom,55.378051,-3.435973
Nepal,28.394857,84.12400799999999
Venezuela,6.42375,-66.58973
Taiwan,23.69781,120.960515
Costa Rica,9.748916999999999,-83.753428
Chad,15.454166,18.732207
Senegal,14.497401,-14.452362
Yemen (North Yemen),15.552727,48.516388
Iraq,33.223191,43.679291
North Korea,40.339852,127.510093
Pakistan,30.375321,69.34511599999999
Thailand,15.870032,100.992541
Peru,-9.189967,-75.015152
Tanzania,-6.369028,34.888822
Netherlands,52.132633,5.291265999999999
Uruguay,-32.522779,-55.765835
Colombia,4.570868,-74.297333
Malaysia,4.210484,101.975766
Indonesia,-0.789275,113.921327
South Vietnam,14.058324,108.277199
Papua New Guinea,-6.314992999999999,143.95555
Algeria,28.033886,1.659626
Tunisia,33.886917,9.537499
Gabon,-0.803689,11.609444
South Sudan,6.876991899999999,31.3069788
Nigeria,9.081999,8.675277
Guinea,9.945587,-9.696645
Rumania,45.943161,24.96676
Ghana,7.946527,-1.023194
Jordan,30.585164,36.238414
Brunei,4.535277,114.727669
Iran,32.427908,53.688046
Israel,31.046051,34.851612
United States of America,37.09024,-95.712891
Trinidad and Tobago,10.691803,-61.222503
Russia (Soviet Union),51.2206431,51.36351939999999
Saudi Arabia,23.885942,45.079162
Chile,-35.675147,-71.542969
Niger,17.607789,8.081666
Liberia,6.428055,-9.429499000000002
Greece,39.074208,21.824312
Sudan,12.862807,30.217636
Bosnia-Herzegovina,43.915886,17.679076
Honduras,15.199999,-86.241905
Gambia,13.443182,-15.310139
Guatemala,15.783471,-90.23075899999999
Australia,-25.274398,133.775136
Bangladesh,23.684994,90.356331
Angola,-11.202692,17.873887
Central African Republic,6.611110999999999,20.939444
El Salvador,13.794185,-88.89653
South Africa,-30.559482,22.937506
Argentina,-38.416097,-63.61667199999999
Ukraine,48.379433,31.16558
Sri Lanka,7.873053999999999,80.77179699999999
Comoros,-11.6455,43.3333
Burkina Faso,12.238333,-1.561593
Ivory Coast,7.539988999999999,-5.547079999999999
Turkey,38.963745,35.243322
Uzbekistan,41.377491,64.585262
Sierra Leone,8.460555,-11.779889
Philippines,12.879721,121.774017
