"TIV of arms exports from all, 1950-2014",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Generated: 09 December 2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures are SIPRI Trend Indicator Values (TIVs) expressed in US$ m. at constant (1990) prices.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Figures may not add up due to the conventions of rounding.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A '0' indicates that the value of deliveries is less than US$0.5m,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"For more information, see http://www.sipri.org/databases/armstransfers/background",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: SIPRI Arms Transfers Database,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Total
,Aircraft,5530,7245,11659,15660,13836,12139,13993,13753,15963,10317,7375,7316,8520,11210,14741,13081,11994,12155,12356,14402,12342,17684,17241,16664,17484,19693,16985,17240,18669,17657,19882,20847,21185,20203,18075,17720,18221,18204,15823,17748,15421,12824,11999,10550,7380,9308,8744,14191,14529,11251,8224,9310,8120,9059,10481,8155,9434,11655,9817,9890,11851,15232,11830,10774,13222,866063
,Air defence systems,,,42,42,56,197,358,480,605,1310,1558,1269,1370,1523,2120,2175,1910,1401,1334,2066,2007,2810,2751,3356,2749,3281,4480,6429,6579,4853,4116,3377,3321,2819,2369,3097,2091,3327,3261,2910,1440,1465,588,969,754,615,755,764,867,1043,936,702,721,587,588,938,1008,953,1332,1219,1074,1261,1254,1789,1300,114720
,Armoured vehicles,1051,1314,2204,2659,3037,2394,3855,3019,3397,3206,3289,3012,2895,2661,3250,3851,3387,3820,4008,4528,5090,5531,6132,6054,6644,5023,4277,6742,7963,6279,4943,6281,7081,6906,7200,5921,6077,5526,4696,3560,3384,3680,3292,5280,3962,3656,3763,3546,2727,2936,2011,1835,1901,2082,1894,1952,3030,3606,3223,3457,3905,3615,3736,2615,2544,256393
,Artillery,343,559,627,717,566,798,987,802,757,659,566,753,644,637,635,677,1201,948,1201,940,943,1002,877,909,859,944,831,740,587,489,720,1031,1326,1567,1486,1717,1018,1164,1200,904,569,869,789,375,626,479,557,610,426,350,332,135,202,192,401,437,581,640,628,621,772,720,624,384,281,47932
,Engines,468,773,818,1141,1003,1096,1342,1239,1036,944,500,246,238,368,342,247,357,328,313,258,323,507,758,677,632,671,704,668,727,667,681,703,766,712,691,618,685,567,707,790,733,638,571,627,593,623,674,550,529,564,541,585,570,703,921,739,640,729,932,924,1102,1158,1297,1370,1423,46043
,Missiles,,,,,,57,55,59,745,1098,750,1099,1045,1412,1668,1617,1587,1400,2071,2058,1375,1500,2182,2597,2718,2940,2999,3323,3804,3299,3875,4321,4579,4026,3896,4391,4692,4947,4834,4380,3989,3853,2292,3380,2938,2872,2973,2870,3914,3042,2626,2110,2518,2153,2438,2628,3215,3176,3285,3100,2610,3122,3596,4412,3585,164089
,Naval weapons,1,,,133,40,111,148,180,103,140,169,76,70,93,110,77,72,65,92,31,33,17,100,81,96,119,86,119,147,125,171,204,213,247,190,153,154,90,87,201,119,111,91,94,50,56,92,81,88,73,74,46,91,174,257,206,189,124,170,69,100,146,182,174,245,7444
,Other,,,,,,,,,,,,,1,1,1,1,1,1,1,1,,,20,6,6,6,,,24,109,89,56,25,69,87,38,57,22,22,48,59,155,146,100,130,187,255,240,167,328,334,197,149,196,199,124,105,157,175,181,280,261,298,246,152,5511
,Satellites,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50,,,,,,,,,,50
,Sensors,25,4,72,240,374,375,318,309,358,259,407,524,695,765,998,955,1056,1009,726,839,572,542,638,321,289,636,824,743,829,1001,1409,1697,1719,2058,2049,1673,1414,1622,1862,1660,1446,1509,1354,1244,1346,1366,1250,999,1175,1124,1009,1211,1165,1156,1307,1302,1427,1467,1365,1078,1325,1488,1677,1744,1624,67022
,Ships,954,2177,986,1806,2037,2606,3157,3140,2764,3427,3075,2037,2203,1426,2520,2298,3381,3969,3160,3090,3093,2963,3413,4089,3687,3683,3806,4112,4007,3829,5923,6513,5585,5348,5518,3352,4744,4256,4512,3321,2887,3162,3045,3305,5027,3718,4833,5085,3437,4559,3355,2864,2374,2993,3005,5052,5049,4012,3279,3769,2612,3104,4408,4408,3935,229242
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,8371,12071,16408,22397,20948,19772,24212,22982,25729,21361,17689,16331,17680,20096,26384,24980,24946,25095,25262,28214,25777,32554,34112,34754,35164,36996,34991,40117,43336,38308,41809,45029,45798,43956,41562,38678,39152,39726,37003,35523,30047,28267,24166,25922,22806,22880,23894,28937,27859,25268,19440,18995,17809,19295,21492,21582,24679,26519,24207,24308,25631,30108,28902,27916,28308,1804510
